module,name,method,url,request,response,example
其他,getBanner,GET,/library/banner,"{""params"":{""optional"":[""position"",""pageNum"",""pageSize""]}}","{""data"":[{""title"":""string"",""image"":""string"",""url"":""string""}]}","{""request"":""GET /library/banner"",""response"":{""code"":0,""data"":[{""title"":""Welcome"",""image"":""https://.../img.jpg"",""url"":""https://...""}]}}"
作品集/收藏,getCollectionList,GET,/library/collection/list,"{""params"":{""userId"":""number""}}","{""data"":[{""id"":1,""name"":""MyFolder"",""userId"":123}]}","{""request"":""GET /library/collection/list?userId=123"",""response"":{""code"":0,""data"":[{""id"":1,""name"":""MyFolder"",""userId"":123}]}}"
作品集/收藏,addCollection,POST,/library/collection,"{""json"":{""name"":""string"",""userId"":""number""}}","{""data"":{""id"":2,""name"":""New Folder"",""userId"":123}}","{""request"":{""method"":""POST"",""path"":""/library/collection"",""body"":{""name"":""New Folder"",""userId"":123}},""response"":{""code"":0,""data"":{""id"":2,""name"":""New Folder"",""userId"":123}}}"
资源管理,addResourceToCollection,POST,/library/collection/{collectionId}/resource/{resourceId},"{""path"":{""collectionId"":""number"",""resourceId"":""number""},""json"":{}}","{""message"":""string""}","{""request"":""POST /library/collection/1/resource/100"",""response"":{""code"":0,""message"":""added""}}"
资源管理,deleteResourceInCollection,DELETE,/library/collection/{collectionId}/resource/{resourceId},"{""path"":{""collectionId"":""number"",""resourceId"":""number""}}","{""message"":""string""}","{""request"":""DELETE /library/collection/1/resource/100"",""response"":{""code"":0,""message"":""deleted""}}"
资源管理,getResourceInCollection,GET,/library/collection/{collectionId}/resource/list,"{""path"":{""collectionId"":""number""},""params"":{""userId"":""number"",""pageNum"":""number"",""pageSize"":""number""}}","{""data"":{""rows"":[{""id"":100,""title"":""string""}],""total"":1}}","{""request"":""GET /library/collection/1/resource/list?userId=123&pageNum=1&pageSize=12"",""response"":{""code"":0,""data"":{""rows"":[{""id"":100,""title"":""MyRes""}],""total"":1}}}"
资源管理,getCollectionResourceList,GET,/library/collection/resource/list,"{""params"":{""collectionId"":""number"",""pageNum"":""number"",""pageSize"":""number""}}","{""data"":{""rows"":[],""total"":0}}","{""request"":""GET /library/collection/resource/list?collectionId=1&pageNum=1&pageSize=12"",""response"":{""code"":0,""data"":{""rows"":[],""total"":0}}}"
资源管理,deleteCollectionResource,DELETE,/library/collection/resource/{resourceId},"{""path"":{""resourceId"":""number""}}","{""message"":""string""}","{""request"":""DELETE /library/collection/resource/100"",""response"":{""code"":0,""message"":""deleted""}}"
评论,postComment,POST,/library/comment,"{""json"":{""resourceId"":""number"",""content"":""string"",""userId"":""number?""}}","{""data"":{""id"":501,""content"":""string"",""resourceId"":100}}","{""request"":{""method"":""POST"",""path"":""/library/comment"",""body"":{""resourceId"":100,""content"":""Nice!""}},""response"":{""code"":0,""data"":{""id"":501}}}"
社区,addCommunity,POST,/library/community,"{""json"":{""title"":""string"",""content"":""string"",""userId"":""number""}}","{""data"":{""id"":10}}","{""request"":""POST /library/community"",""response"":{""code"":0,""data"":{""id"":10}}}"
社区,getCommunityList,GET,/library/community/list,"{""params"":{""pageNum"":""number"",""pageSize"":""number""}}","{""data"":{""rows"":[],""total"":0}}","{""request"":""GET /library/community/list?pageNum=1&pageSize=10"",""response"":{""code"":0,""data"":{""rows"":[],""total"":0}}}"
社区,getCommunityDetail,GET,/library/community/detail/{id},"{""path"":{""id"":""number""}}","{""data"":{""id"":10,""title"":""string"",""content"":""string""}}","{""request"":""GET /library/community/detail/10"",""response"":{""code"":0,""data"":{""id"":10}}}"
评论,getCommunityComment,GET,/library/community/comment/list,"{""params"":{""communityId"":""number"",""pageNum"":""number"",""pageSize"":""number""}}","{""data"":{""rows"":[],""total"":0}}","{""request"":""GET /library/community/comment/list?communityId=10&pageNum=1"",""response"":{""code"":0,""data"":{""rows"":[],""total"":0}}}"
社区,likeCommunity,POST,/library/community/like/{id},"{""path"":{""id"":""number""}}","{""message"":""string""}","{""request"":""POST /library/community/like/10"",""response"":{""code"":0,""message"":""liked""}}"
社区,unlikeCommunity,DELETE,/library/community/like/{id},"{""path"":{""id"":""number""}}","{""message"":""string""}","{""request"":""DELETE /library/community/like/10"",""response"":{""code"":0,""message"":""unliked""}}"
社区,getLikeList,GET,/library/community/like/list,"{""params"":{""userId"":""number"",""pageNum"":""number"",""pageSize"":""number""}}","{""data"":{""rows"":[],""total"":0}}","{""request"":""GET /library/community/like/list?userId=123"",""response"":{""code"":0,""data"":{""rows"":[],""total"":0}}}"
评论,postCommunityComment,POST,/library/community/comment,"{""json"":{""communityId"":""number"",""content"":""string"",""userId"":""number""}}","{""data"":{""id"":200}}","{""request"":""POST /library/community/comment"",""response"":{""code"":0,""data"":{""id"":200}}}"
评论,deleteCommunityComment,DELETE,/library/community/comment/{id},"{""path"":{""id"":""number""}}","{""message"":""string""}","{""request"":""DELETE /library/community/comment/200"",""response"":{""code"":0,""message"":""deleted""}}"
仪表盘,getActivityList,GET,/dashboard/getActivityList,"{""params"":{""pageNum"":""number"",""pageSize"":""number""}}","{""data"":{""rows"":[],""total"":0}}","{""request"":""GET /dashboard/getActivityList?pageNum=1"",""response"":{""code"":0,""data"":{""rows"":[],""total"":0}}}"
仪表盘,getWatchList,GET,/dashboard/getWatchList,"{""params"":{}}","{""data"":{""rows"":[]}}","{""request"":""GET /dashboard/getWatchList"",""response"":{""code"":0,""data"":{""rows"":[]}}}"
设计师,getDesignerList_dashboard,GET,/dashboard/getDesignerList,"{""params"":{}}","{""data"":{""rows"":[]}}","{""request"":""GET /dashboard/getDesignerList"",""response"":{""code"":0,""data"":{""rows"":[]}}}"
关注,follow,POST,/library/follower,"{""params"":{""userId"":""number"",""targetId"":""number""}}","{""message"":""string""}","{""request"":""POST /library/follower?userId=123&targetId=456"",""response"":{""code"":0,""message"":""followed""}}"
关注,unFollow,DELETE,/library/follower,"{""params"":{""userId"":""number"",""targetId"":""number""}}","{""message"":""string""}","{""request"":""DELETE /library/follower?userId=123&targetId=456"",""response"":{""code"":0,""message"":""unfollowed""}}"
作品集/收藏,renameCollection,PUT,/library/collection,"{""json"":{""id"":""number"",""name"":""string""}}","{""message"":""string""}","{""request"":""PUT /library/collection"",""response"":{""code"":0,""message"":""renamed""}}"
作品集/收藏,addCollection_design,POST,/library/collection,"{""json"":{""name"":""string"",""userId"":""number""}}","{""data"":{""id"":3}}","{""request"":""POST /library/collection"",""response"":{""code"":0,""data"":{""id"":3}}}"
资源管理,deleteResource,DELETE,/library/resource/{resId},"{""path"":{""resId"":""number""}}","{""message"":""string""}","{""request"":""DELETE /library/resource/100"",""response"":{""code"":0,""message"":""deleted""}}"
评论,deleteMake,DELETE,/library/comment/{resId},"{""path"":{""resId"":""number""}}","{""message"":""string""}","{""request"":""DELETE /library/comment/501"",""response"":{""code"":0,""message"":""deleted""}}"
资源管理,moveResourceToCollection,PUT,/library/collection/{collectionId}/resource/{resourceId},"{""path"":{""collectionId"":""number"",""resourceId"":""number""}}","{""message"":""string""}","{""request"":""PUT /library/collection/1/resource/100"",""response"":{""code"":0,""message"":""moved""}}"
资源管理,addResourceToCollection_design,POST,/library/collection/{collectionId}/resource/{resourceId},"{""path"":{""collectionId"":""number"",""resourceId"":""number""}}","{""message"":""string""}","{""request"":""POST /library/collection/1/resource/101"",""response"":{""code"":0,""message"":""added""}}"
作品集/收藏,deleteCollection,DELETE,/library/collection/{collectionId},"{""path"":{""collectionId"":""number""}}","{""message"":""string""}","{""request"":""DELETE /library/collection/2"",""response"":{""code"":0,""message"":""deleted""}}"
作品集/收藏,getCollectList,GET,/library/collection/list,"{""params"":{""userId"":""number""}}","{""data"":{""rows"":[],""total"":0}}","{""request"":""GET /library/collection/list?userId=123"",""response"":{""code"":0,""data"":{""rows"":[],""total"":0}}}"
